"대여일자","사용자코드","성별","연령대코드","신규가입자수"
"2018-05-31","회원-내국인","F","50대","34"
"2018-05-31","회원-내국인","F","40대","82"
"2018-05-31","회원-내국인","F","30대","187"
"2018-05-31","회원-내국인","F","20대","672"
"2018-05-30","회원-내국인","M","~10대","24"
"2018-05-30","회원-내국인","M","70대~","4"
"2018-05-30","회원-내국인","M","60대","15"
"2018-05-30","회원-내국인","M","50대","72"
"2018-05-30","회원-내국인","M","40대","140"
"2018-05-30","회원-내국인","M","30대","247"
"2018-05-30","회원-내국인","M","20대","437"
"2018-05-30","회원-내국인","F","~10대","41"
"2018-05-30","회원-내국인","F","70대~","3"
"2018-05-30","회원-내국인","F","60대","7"
"2018-05-30","회원-내국인","F","50대","41"
"2018-05-30","회원-내국인","F","40대","81"
"2018-05-30","회원-내국인","F","30대","180"
"2018-05-30","회원-내국인","F","20대","561"
"2018-05-29","회원-내국인","M","~10대","21"
"2018-05-29","회원-내국인","M","70대~","4"
"2018-05-29","회원-내국인","M","60대","12"
"2018-05-29","회원-내국인","M","50대","56"
"2018-05-29","회원-내국인","M","40대","123"
"2018-05-29","회원-내국인","M","30대","189"
"2018-05-29","회원-내국인","M","20대","281"
"2018-05-29","회원-내국인","F","~10대","35"
"2018-05-29","회원-내국인","F","70대~","2"
"2018-05-29","회원-내국인","F","60대","6"
"2018-05-29","회원-내국인","F","50대","42"
"2018-05-29","회원-내국인","F","40대","76"
"2018-05-29","회원-내국인","F","30대","157"
"2018-05-29","회원-내국인","F","20대","402"
"2018-05-29","회원-내국인","","70대~","2"
"2018-05-28","회원-내국인","M","~10대","31"
"2018-05-28","회원-내국인","M","70대~","2"
"2018-05-28","회원-내국인","M","60대","15"
"2018-05-28","회원-내국인","M","50대","57"
"2018-05-28","회원-내국인","M","40대","141"
"2018-05-28","회원-내국인","M","30대","272"
"2018-05-28","회원-내국인","M","20대","449"
"2018-05-28","회원-내국인","F","~10대","44"
"2018-05-28","회원-내국인","F","70대~","2"
"2018-05-28","회원-내국인","F","60대","10"
"2018-05-28","회원-내국인","F","50대","51"
"2018-05-28","회원-내국인","F","40대","88"
"2018-05-28","회원-내국인","F","30대","219"
"2018-05-28","회원-내국인","F","20대","685"
"2018-05-28","회원-내국인","","70대~","1"
"2018-05-27","회원-내국인","M","~10대","56"
"2018-05-27","회원-내국인","M","70대~","1"
"2018-05-27","회원-내국인","M","60대","22"
"2018-05-27","회원-내국인","M","50대","80"
"2018-05-27","회원-내국인","M","40대","217"
"2018-05-27","회원-내국인","M","30대","500"
"2018-05-27","회원-내국인","M","20대","872"
"2018-05-27","회원-내국인","F","~10대","96"
"2018-05-27","회원-내국인","F","70대~","8"
"2018-05-27","회원-내국인","F","60대","10"
"2018-05-27","회원-내국인","F","50대","88"
"2018-05-27","회원-내국인","F","40대","184"
"2018-05-27","회원-내국인","F","30대","398"
"2018-05-27","회원-내국인","F","20대","989"
"2018-05-26","회원-내국인","M","~10대","53"
"2018-05-26","회원-내국인","M","70대~","2"
"2018-05-26","회원-내국인","M","60대","5"
"2018-05-26","회원-내국인","M","50대","74"
"2018-05-26","회원-내국인","M","40대","171"
"2018-05-26","회원-내국인","M","30대","425"
"2018-05-26","회원-내국인","M","20대","835"
"2018-05-26","회원-내국인","F","~10대","86"
"2018-05-26","회원-내국인","F","70대~","3"
"2018-05-26","회원-내국인","F","60대","6"
"2018-05-26","회원-내국인","F","50대","65"
"2018-05-26","회원-내국인","F","40대","129"
"2018-05-26","회원-내국인","F","30대","317"
"2018-05-26","회원-내국인","F","20대","974"
"2018-05-25","회원-내국인","M","~10대","34"
"2018-05-25","회원-내국인","M","70대~","2"
"2018-05-25","회원-내국인","M","60대","7"
"2018-05-25","회원-내국인","M","50대","44"
"2018-05-25","회원-내국인","M","40대","125"
"2018-05-25","회원-내국인","M","30대","219"
"2018-05-25","회원-내국인","M","20대","473"
"2018-05-25","회원-내국인","F","~10대","50"
"2018-05-25","회원-내국인","F","70대~","3"
"2018-05-25","회원-내국인","F","60대","6"
"2018-05-25","회원-내국인","F","50대","41"
"2018-05-25","회원-내국인","F","40대","82"
"2018-05-25","회원-내국인","F","30대","187"
"2018-05-25","회원-내국인","F","20대","566"
"2018-05-24","회원-내국인","M","~10대","29"
"2018-05-24","회원-내국인","M","60대","9"
"2018-05-24","회원-내국인","M","50대","56"
"2018-05-24","회원-내국인","M","40대","128"
"2018-05-24","회원-내국인","M","30대","231"
"2018-05-24","회원-내국인","M","20대","406"
"2018-05-24","회원-내국인","F","~10대","50"
"2018-05-24","회원-내국인","F","70대~","3"
"2018-05-24","회원-내국인","F","60대","10"
"2018-05-24","회원-내국인","F","50대","29"
"2018-05-24","회원-내국인","F","40대","80"
"2018-05-24","회원-내국인","F","30대","181"
"2018-05-24","회원-내국인","F","20대","520"
"2018-05-23","회원-내국인","M","~10대","24"
"2018-05-23","회원-내국인","M","70대~","3"
"2018-05-23","회원-내국인","M","60대","12"
"2018-05-23","회원-내국인","M","50대","46"
"2018-05-23","회원-내국인","M","40대","99"
"2018-05-23","회원-내국인","M","30대","212"
"2018-05-23","회원-내국인","M","20대","381"
"2018-05-23","회원-내국인","F","~10대","49"
"2018-05-23","회원-내국인","F","70대~","4"
"2018-05-23","회원-내국인","F","60대","9"
"2018-05-23","회원-내국인","F","50대","43"
"2018-05-23","회원-내국인","F","40대","82"
"2018-05-23","회원-내국인","F","30대","161"
"2018-05-23","회원-내국인","F","20대","568"
"2018-05-22","회원-내국인","M","~10대","36"
"2018-05-22","회원-내국인","M","70대~","3"
"2018-05-22","회원-내국인","M","60대","17"
"2018-05-22","회원-내국인","M","50대","61"
"2018-05-22","회원-내국인","M","40대","213"
"2018-05-22","회원-내국인","M","30대","267"
"2018-05-22","회원-내국인","M","20대","357"
"2018-05-22","회원-내국인","F","~10대","44"
"2018-05-22","회원-내국인","F","70대~","3"
"2018-05-22","회원-내국인","F","60대","7"
"2018-05-22","회원-내국인","F","50대","59"
"2018-05-22","회원-내국인","F","40대","163"
"2018-05-22","회원-내국인","F","30대","280"
"2018-05-22","회원-내국인","F","20대","456"
"2018-05-21","회원-내국인","M","~10대","55"
"2018-05-21","회원-내국인","M","70대~","6"
"2018-05-21","회원-내국인","M","60대","11"
"2018-05-21","회원-내국인","M","50대","58"
"2018-05-21","회원-내국인","M","40대","181"
"2018-05-21","회원-내국인","M","30대","409"
"2018-05-21","회원-내국인","M","20대","678"
"2018-05-21","회원-내국인","F","~10대","70"
"2018-05-21","회원-내국인","F","70대~","5"
"2018-05-21","회원-내국인","F","60대","11"
"2018-05-21","회원-내국인","F","50대","52"
"2018-05-21","회원-내국인","F","40대","145"
"2018-05-21","회원-내국인","F","30대","370"
"2018-05-21","회원-내국인","F","20대","933"
"2018-05-20","회원-내국인","M","~10대","82"
"2018-05-20","회원-내국인","M","70대~","6"
"2018-05-20","회원-내국인","M","60대","25"
"2018-05-20","회원-내국인","M","50대","80"
"2018-05-20","회원-내국인","M","40대","264"
"2018-05-20","회원-내국인","M","30대","520"
"2018-05-20","회원-내국인","M","20대","969"
"2018-05-20","회원-내국인","F","~10대","105"
"2018-05-20","회원-내국인","F","70대~","3"
"2018-05-20","회원-내국인","F","60대","16"
"2018-05-20","회원-내국인","F","50대","89"
"2018-05-20","회원-내국인","F","40대","193"
